id,song_name,level,level_index,score,rating,over_power,clear,full_combo,full_chain,rank,upload_time,play_time
118,腐れ外道とチョコレゐト,14+,4,1007490,16.798,83.99,clear,,,ssp,2025-09-28 13:44:50,
2038,SINister Evolution,14+,3,1005939,16.5878,82.939,clear,,,ssp,2024-02-20 10:01:05,
2208,Reverberate,15,3,1002644,16.4644,82.322,clear,,,ss,2024-02-20 10:01:05,
628,サドマミホリック,14,3,1006818,16.0636,80.318,clear,,,ssp,2024-02-20 10:01:05,
697,folern,14+,3,1004545,16.1545,80.7725,clear,,,ss,2024-02-20 10:01:05,
823,Opfer,15,3,1000516,16.0516,80.258,clear,,,ss,2024-02-20 10:01:05,
887,SON OF SUN,14,3,1003935,15.7935,78.9675,clear,,,ss,2024-02-20 10:01:05,
409,Finite,15,3,996194,16.04776,80.2388,clear,,,sp,2024-02-20 10:01:05,
1079,X7124,14,2,1003153,15.6153,78.0765,clear,,,ss,2024-02-20 10:01:05,
978,Ascension to Heaven,15,3,997330,15.8932,79.466,clear,,,sp,2024-02-20 10:01:05,
618,業 -善なる神とこの世の悪について-,14,2,1004110,15.611,78.055,clear,,,ss,2024-02-20 10:01:05,
886,Memory of Beach,13+,3,1006467,15.5934,77.967,clear,,,ssp,2024-02-20 10:01:05,
1035,赤壁、大炎上！！,15,3,992031,15.78124,78.9062,failed,,,sp,2024-02-20 10:01:05,
993,B100d Hunter,14+,3,998985,15.6594,78.297,clear,,,sp,2024-02-20 10:01:05,
1016,Parad'ox,14+,3,998565,15.6426,78.213,clear,,,sp,2024-02-20 10:01:05,
328,★LittlE HearTs★,15,3,990225,15.809,79.045,clear,,,sp,2024-02-20 10:01:05,
2140,ピアノ協奏曲第１番”蠍火”,14,2,1004986,15.6986,78.493,clear,,,ss,2024-02-20 10:01:05,
2076,FIRE BIRD,13+,3,1007436,15.4872,77.436,clear,,,ssp,2024-02-20 10:01:05,
429,Black Lotus,14,3,1000094,15.4094,77.047,clear,,,ss,2024-02-20 10:01:05,
2039,]-[|/34<#!,14+,3,985896,15.33584,76.6792,failed,,,s,2024-02-20 10:01:05,
999,AttraqtiA,14+,3,987774,15.41096,77.0548,clear,,,s,2024-02-20 10:01:05,
893,Giselle,13+,2,1004735,15.2735,76.3675,clear,,,ss,2024-02-20 10:01:05,
2122,Akasagarbha -reincarnate-,14+,3,993631,15.24524,76.2262,clear,,,sp,2024-02-20 10:01:05,
2049,脳天直撃,15,3,983430,15.4372,77.186,failed,,,s,2024-02-20 10:01:05,
598,Super Lovely (Heavenly Remix),14,3,996453,15.15812,75.7906,clear,,,sp,2024-02-20 10:01:05,
2119,parvorbital,13,2,1008713,15.1213,76.8195,clear,,,sss,2024-02-20 10:01:05,
701,StufeStern,14,3,994358,15.07432,75.3716,clear,,,sp,2024-02-20 10:01:05,
106,宛城、炎上！！,15,3,978831,15.15324,75.7662,failed,,,s,2024-02-20 10:01:05,
788,Rebellion,14,2,995110,14.9044,74.522,clear,,,sp,2024-02-20 10:01:05,
2064,ピュグマリオンの咒文,14,3,992861,14.81444,74.0722,clear,,,sp,2024-02-20 10:01:05,
2056,Blazing Break,13+,3,999473,14.57892,72.8946,clear,,,sp,2024-02-20 10:01:05,
988,テリトリーバトル,12,3,1007598,14.4098,72.147,clear,,,sss,2024-02-20 10:01:05,
291,Kronos,13,3,1002167,14.2167,71.0835,clear,,,ss,2024-02-20 10:01:05,
108,The ether,13,3,1000548,14.0548,70.274,clear,,,ss,2024-02-20 10:01:05,
2055,Ring,11+,3,1009710,13.65,71.815,clear,alljustice,,sssp,2024-02-20 10:01:05,
233,アルストロメリア,12+,3,996459,13.35836,66.7918,clear,,,sp,2024-02-20 10:01:05,
287,ロミオとシンデレラ,11+,3,1002543,13.0543,65.2715,clear,,,ss,2024-02-20 10:01:05,
343,Daydream café,8,2,1009017,10.15,52.2755,clear,fullcombo,,sssp,2024-02-20 10:01:05,
628,サドマミホリック,14,3,1003098,15.5098,77.549,clear,,,ss,2024-02-20 10:01:06,2024-02-20 06:16:00
981,小悪魔の遊園地,15,3,996005,15.9402,79.701,clear,,,sp,2024-02-20 10:01:06,2024-02-20 06:06:00
972,宿星審判,15,3,991547,16.06188,80.3094,clear,,,sp,2024-02-20 10:01:06,2024-02-20 05:44:00
101,Tango Rouge,14+,3,1001633,15.6633,78.3165,clear,,,ss,2024-02-20 10:01:06,2024-02-20 05:34:00
1065,"Athlete Killer ""Meteor""",14,3,992987,14.71948,73.5974,clear,,,sp,2024-02-20 10:01:06,2024-02-20 05:22:00
1079,X7124,14,2,1003153,15.6153,78.0765,clear,,,ss,2024-02-20 10:01:06,2024-02-18 09:02:00
180,怒槌,15,3,996540,16.2616,81.308,clear,,,sp,2024-02-20 10:01:06,2024-02-18 08:47:00
2140,ピアノ協奏曲第１番”蠍火”,15+,3,979618,15.68472,78.4236,failed,,,s,2024-02-20 10:01:06,2024-02-18 08:13:00
506,G e n g a o z o,14+,3,986942,15.17768,75.8884,clear,,,s,2024-02-20 10:01:06,2024-02-18 08:04:00
982,The Metaverse -First story of the SeelischTact-,15+,3,983674,16.04696,80.2348,failed,,,s,2024-02-20 10:01:06,2024-02-18 07:05:00
753,Pure Ruby,14,3,1006435,16.087,80.435,clear,,,ssp,2024-02-20 10:01:05,
2089,Love & Justice,15,3,1000773,16.1773,80.8865,clear,,,ss,2024-02-20 10:01:05,
1015,Insane Gamemode,14,3,1005121,15.9242,79.621,clear,,,ssp,2024-02-20 10:01:05,
981,小悪魔の遊園地,15,3,999323,16.07292,80.3646,clear,,,sp,2024-02-20 10:01:05,
982,The Metaverse -First story of the SeelischTact-,15+,3,985611,16.12444,80.6222,clear,,,s,2024-02-20 10:01:05,
972,宿星審判,15,3,991547,16.06188,80.3094,clear,,,sp,2024-02-20 10:01:05,
978,Ascension to Heaven,13+,2,1007134,15.7268,78.634,clear,,,ssp,2024-02-20 10:01:05,
2140,ピアノ協奏曲第１番”蠍火”,15+,3,982907,15.81628,79.0814,clear,,,s,2024-02-20 10:01:05,
1100,TECHNOPOLIS 2085,14+,3,1001013,15.6013,78.0065,clear,,,ss,2024-02-20 10:01:05,
730,Ai Nov,14+,3,997040,15.6816,78.408,clear,,,sp,2024-02-20 10:01:05,
2034,A Site De La Rue,15,3,991605,15.7642,78.821,clear,,,sp,2024-02-20 10:01:05,
2161,POTENTIAL,15,3,985680,15.7272,78.636,clear,,,s,2024-02-20 10:01:05,
559,otorii INNOVATED -[i]3-,15,3,987506,15.70024,78.5012,clear,,,s,2024-02-20 10:01:05,
2135,IMPACT,14+,3,999845,15.4938,77.469,clear,,,sp,2024-02-20 10:01:05,
2161,POTENTIAL,14,2,1009241,16.15,82.6115,clear,,,sssp,2024-02-20 10:01:05,
893,Giselle,15,3,1001956,16.2956,81.478,clear,,,ss,2024-02-20 10:01:05,
2184,ENDYMION,14+,2,1005567,16.1134,80.567,clear,,,ssp,2024-02-20 10:01:05,
2041,8OROCHI,14,3,1002743,15.6743,78.3715,clear,,,ss,2024-02-20 10:01:05,
972,宿星審判,13+,2,1007955,15.8455,79.6825,clear,,,sss,2024-02-20 10:01:05,
927,MARENOL,15,3,999772,15.99088,79.9544,clear,,,sp,2024-02-20 10:01:05,
1033,《本能》 ～ ReCoda,14+,3,1001373,15.7373,78.6865,clear,,,ss,2024-02-20 10:01:05,
982,The Metaverse -First story of the SeelischTact-,14,2,1005072,15.7144,78.572,clear,,,ssp,2024-02-20 10:01:05,
887,SON OF SUN,13+,2,1006537,15.6074,78.037,clear,,,ssp,2024-02-20 10:01:05,
2090,《自戒》 ～ Paganelope,14+,3,999228,15.56912,77.8456,clear,,,sp,2024-02-20 10:01:05,
994,Last Celebration,14+,3,996008,15.54032,77.7016,clear,,,sp,2024-02-20 10:01:05,
232,Elemental Creation,14+,3,1001064,15.6064,78.032,clear,,,ss,2024-02-20 10:01:05,
1091,クロートーと星の観測者,14,3,1004978,15.4978,77.489,clear,,,ss,2024-02-20 10:01:05,
806,水晶世界 ～Fracture～,14+,3,993580,15.6432,78.216,clear,,,sp,2024-02-20 10:01:05,
823,Opfer,13+,2,1006020,15.404,77.02,clear,,,ssp,2024-02-20 10:01:05,
1092,真千年女王,14+,3,989099,15.46396,77.3198,clear,,,s,2024-02-20 10:01:05,
671,Taiko Drum Monster,14,3,1000288,15.3288,76.644,clear,,,ss,2024-02-20 10:01:05,
466,Iudicium,15,3,987656,15.50624,77.5312,clear,,,s,2024-02-20 10:01:05,
918,《破滅》 ～ Rhapsody for The End,15,3,984176,15.56704,77.8352,failed,,,s,2024-02-20 10:01:05,
2134,Iudicium “Apocalypsis Mix”,14,3,996123,15.24492,76.2246,clear,,,sp,2024-02-20 10:01:05,
524,ETERNAL DRAIN,13+,3,1005512,15.1024,75.512,clear,,,ssp,2024-02-20 10:01:05,
1066,Blazing:Storm,15,3,976963,15.07852,75.3926,failed,,,s,2024-02-20 10:01:05,
2035,XL TECHNO -More Dance Remix-,14+,3,985439,14.91756,74.5878,clear,,,s,2024-02-20 10:01:05,
1098,董卓討つべし,14,3,997065,14.8826,74.413,clear,,,sp,2024-02-20 10:01:05,
2069,Pre Paid Pog Punk Panic,14,3,989419,14.77676,73.8838,clear,,,s,2024-02-20 10:01:05,
343,Daydream café,12+,4,1007423,14.6846,73.423,clear,,,ssp,2024-02-20 10:01:05,
2075,キズナミュージック♪,12,3,1008572,14.5072,73.608,clear,fullcombo,,sss,2024-02-20 10:01:05,
618,業 -善なる神とこの世の悪について-,15+,3,974651,15.57906,77.8953,failed,,,aaa,2024-02-20 10:01:05,
2062,夢路拍子,12,3,1006555,14.211,71.055,clear,,,ssp,2024-02-20 10:01:05,
885,Ladymade Star,11+,3,1008252,13.7752,70.128,clear,fullcombo,,sss,2024-02-20 10:01:05,
2061,コスモポップファンクラブ,12,3,999226,12.96904,64.8452,clear,,,sp,2024-02-20 10:01:05,
893,Giselle,15,3,1001956,16.2956,81.478,clear,,,ss,2024-02-20 10:01:06,2024-02-20 06:12:00
2089,Love & Justice,15,3,1000773,16.1773,80.8865,clear,,,ss,2024-02-20 10:01:06,2024-02-20 06:02:00
982,The Metaverse -First story of the SeelischTact-,15+,3,985611,16.12444,80.6222,failed,,,s,2024-02-20 10:01:06,2024-02-20 05:51:00
2184,ENDYMION,14+,2,1005567,16.1134,80.567,clear,,,ssp,2024-02-20 10:01:06,2024-02-18 08:59:00
2062,夢路拍子,12,3,1006555,14.211,71.055,clear,,,ssp,2024-02-20 10:01:06,2024-02-18 08:43:00
2140,ピアノ協奏曲第１番”蠍火”,15+,3,982907,15.81628,79.0814,clear,,,s,2024-02-20 10:01:06,2024-02-18 08:10:00
2041,8OROCHI,14,3,1002743,15.6743,78.3715,clear,,,ss,2024-02-20 10:01:06,2024-02-18 08:01:00
559,otorii INNOVATED -[i]3-,15,3,981940,15.4776,77.388,clear,,,s,2024-02-20 10:01:06,2024-02-18 07:49:00
2208,Reverberate,15,3,1002644,16.4644,82.322,clear,,,ss,2024-02-20 10:01:06,2024-02-18 07:38:00
180,怒槌,15,3,985040,15.8016,79.008,failed,,,s,2024-02-20 10:01:06,2024-02-18 07:01:00
407,混沌を越えし我らが神聖なる調律主を讃えよ,14,2,1000209,15.4209,77.1045,clear,,,ss,2024-02-20 10:01:05,
837,Walzer für das Nichts,14+,3,994521,15.38084,76.9042,clear,,,sp,2024-02-20 10:01:05,
159,ジングルベル,14+,3,994057,15.36228,76.8114,clear,,,sp,2024-02-20 10:01:05,
2044,ミュージック・リボルバー,14+,3,993605,15.3442,76.721,clear,,,sp,2024-02-20 10:01:05,
219,玩具狂奏曲 -終焉-,15,3,977737,15.40948,77.0474,clear,,,s,2024-02-20 10:01:05,
2047,花たちに希望を,14,3,996717,15.16868,75.8434,clear,,,sp,2024-02-20 10:01:05,
938,Therapeutic Hoedown,14,3,993039,15.12156,75.6078,clear,,,sp,2024-02-20 10:01:05,
