id,song_name,level,level_index,achievements,fc,fs,dx_score,dx_rating,rate,song_type,upload_time,play_time
119,ソーラン☆節,13,3,100.5669,fcp,,1094,301.6608,sssp,standard,2024-02-20 11:19:48,
142,Black Out,13,3,100.2725,fc,,897,288.062838,sss,standard,2024-02-20 11:19:48,
1374,GIGANTØMAKHIA,14+,3,99.3116,,sync,3045,303.65514816,ss,dx,2024-07-24 17:01:17,2024-07-24 13:07:00
1380,パーフェクション,13,3,100.6128,fc,,2325,301.6608,sssp,dx,2024-02-20 11:19:48,
1386,Swift Swing,14,3,100.1295,,,2310,309.2799996,sss,dx,2024-02-20 11:19:48,
1400,folern,13+,3,100.3106,,,2632,301.17254544,sss,dx,2024-02-20 11:19:48,
1387,星空パーティーチューン,13+,3,100.751,fcp,sync,2591,308.4144,sssp,dx,2025-11-05 12:12:24,
1523,ViRTUS,14+,3,99.823,,,2858,307.5147338,ssp,dx,2024-02-20 11:19:48,
1235,VIIIbit Explorer,14+,3,100.1814,,,2628,318.09598128,sss,dx,2024-02-20 11:19:48,
1302,BLACK SWAN,14+,3,100.0297,,,2535,315.45366192,sss,dx,2024-02-20 11:19:48,
632,Ultranova,14,3,100.6502,fc,,2367,315.168,sssp,standard,2024-02-20 11:19:48,
1575,僕の和風本当上手,14,3,100.6132,,,3166,315.168,sssp,dx,2024-02-20 11:19:48,
1167,BIRTH,14,3,100.1454,,,2338,313.6553928,sss,dx,2024-02-20 11:19:48,
492,Jumble Rumble,14,3,100.5373,,,2894,315.168,sssp,standard,2024-02-20 11:19:48,
1213,Arty Party,13+,3,100.6661,fc,,2213,312.9168,sssp,dx,2024-02-20 11:19:48,
1318,スピカの天秤,14,3,100.496,,,2730,312.5827584,sss,dx,2024-02-20 11:19:48,
664,Moon of Noon,14,3,100.2504,fc,,2412,311.81884416,sss,standard,2024-02-20 11:19:48,
825,雷切-RAIKIRI-,14+,4,99.6055,,,2924,311.0480554,ssp,standard,2024-02-20 11:19:48,
1459,You Mean the World to Me,13+,3,100.6043,fc,,1898,308.4144,sssp,dx,2024-02-20 11:19:48,
1023,Blows Up Everything,13+,3,100.5854,fcp,,2786,310.6656,sssp,dx,2024-02-20 11:19:48,
1457,mystique as iris,14+,3,99.8877,,,3045,307.71404862,ssp,dx,2024-02-20 11:19:48,
1089,STEEL TRANSONIC,14,3,100.1655,,,2714,309.3911964,sss,dx,2024-02-20 11:19:48,
1216,felys -final remix-,14,3,100.0174,,,2892,311.09412096,sss,dx,2024-02-20 11:19:48,
670,ドーナツホール,13+,3,100.5148,fc,,2525,306.1632,sssp,standard,2024-02-20 11:19:48,
1021,魔ジョ狩リ,13+,3,100.5872,fc,,1870,308.4144,sssp,dx,2024-02-20 11:19:48,
1418,enchanted love,13+,3,100.6996,fcp,fsd,1610,308.4144,sssp,dx,2024-02-20 11:19:48,
1394,World's end loneliness,14+,3,99.443,,,3131,308.1937456,ss,dx,2024-02-20 11:19:48,
1405,エータ・ベータ・イータ,14,3,100.3758,fc,,2830,305.70453648,sss,dx,2024-02-20 11:19:48,
1392,Metamorphosism,14+,3,99.675,,,2462,309.1619475,ssp,dx,2024-02-20 11:19:48,
1398,"Good bye, Merry-Go-Round.",14,3,100.488,fc,fs,2362,306.0462528,sss,dx,2024-02-20 11:19:48,
1423,BLUE ZONE,14,3,100.3649,,,2363,305.67133944,sss,dx,2024-02-20 11:19:48,
1230,チエルカ／エソテリカ,14,3,100.1763,,,2976,309.42455544,sss,dx,2024-02-20 11:19:48,
494,CITRUS MONSTER,14,3,99.6389,,,2657,304.84521455,ssp,standard,2024-02-20 11:19:48,
641,Calamity Fortune,14,3,100.0343,,,2935,306.82520496,sss,standard,2024-02-20 11:19:48,
301,患部で止まってすぐ溶ける～狂気の優曇華院,13,3,100.792,fc,fsp,1965,303.912,sssp,dx,2024-02-20 11:19:48,
1027,アポカリプスに反逆の焔を焚べろ,14,3,99.9939,,,2895,305.93133705,ssp,dx,2024-02-20 11:19:48,
1106,Valsqotch,14+,3,99.3032,,,3079,303.62946432,ss,dx,2024-02-20 11:19:48,
1455,[X],13+,3,100.3554,,,2754,296.97169968,sss,dx,2024-02-20 11:19:48,
1093,UniTas,14,3,99.7894,,,3103,303.20011296,ssp,dx,2024-02-20 11:19:48,
1305,Alcyone,14,3,100.2168,,,2381,303.0556032,sss,dx,2024-02-20 11:19:48,
421,Aiolos,14,3,99.6989,,,2750,300.82149097,ssp,standard,2024-02-20 11:19:48,
496,AMAZING MIGHTYYYY!!!!,14+,3,99.0081,,,2865,302.72716656,ss,standard,2024-02-20 11:19:48,
239,System “Z”,14,3,99.5508,,,1962,302.47515072,ssp,standard,2024-02-20 11:19:48,
849,Kattobi KEIKYU Rider,13+,3,100.4963,fc,fsp,2263,297.38865096,sss,standard,2024-02-20 11:19:48,
694,猫祭り,13,3,100.5937,,,2096,301.6608,sssp,standard,2024-02-20 11:19:48,
1496,Destiny Runner,13+,3,100.3687,,,2639,301.34698488,sss,dx,2024-02-20 11:19:48,
308,Back 2 Back,13+,3,100.322,fc,,1051,296.8728624,sss,standard,2024-02-20 11:19:48,
750,初音ミクの激唱,14,3,99.7677,,,2119,305.23927815,ssp,standard,2024-02-20 11:19:48,
736,World Vanquisher,14,3,99.7348,,,2770,300.92981204,ssp,standard,2024-02-20 11:19:48,
625,Maxi,14,3,100.1497,,,2397,302.8526928,sss,standard,2024-02-20 11:19:48,
1031,立川浄穢捕物帳,13+,3,100.079,,,2649,298.3154832,sss,dx,2024-02-20 11:19:48,
1174,Desperado Waltz,14,3,99.9541,fc,,2820,299.48247442,ssp,dx,2024-02-20 11:19:48,
567,HERA,14,3,99.9464,,,2703,301.56827272,ssp,standard,2024-02-20 11:19:48,
566,天火明命,13,2,100.7798,fc,,1955,299.4096,sssp,standard,2024-02-20 11:19:48,
1105,ワードワードワード,13,3,100.5862,,,2408,301.6608,sssp,dx,2024-02-20 11:19:48,
193,セツナトリップ,13,3,100.6874,fc,,1792,299.4096,sssp,standard,2024-02-20 11:19:48,
816,クレイジークレイジーダンサーズ,13,4,100.7885,fcp,,2168,299.4096,sssp,standard,2024-02-20 11:19:48,
621,ARROW,13,3,100.5226,,,1750,299.4096,sssp,standard,2024-02-20 11:19:48,
1175,宛城、炎上！！,13+,3,100.4309,,,3550,299.36442672,sss,dx,2024-02-20 11:19:48,
465,スリップフリップ,13+,3,100.4108,fc,,2216,299.30451264,sss,standard,2024-02-20 11:19:48,
682,人生リセットボタン,13+,3,100.3555,,,2583,299.1396744,sss,standard,2024-02-20 11:19:48,
820,FFT,14,4,99.1119,,,2394,298.9214904,ss,standard,2024-02-20 11:19:48,
258,Nyan Cat EX,13+,3,100.1713,,,1823,298.59061104,sss,standard,2024-02-20 11:19:48,
1241,単一指向性オーバーブルーム,13+,4,100.0643,,,2921,298.27166544,sss,dx,2024-02-20 11:19:48,
261,Death Scythe,13+,3,100.0147,fc,,1985,298.12381776,sss,standard,2024-02-20 11:19:48,
593,conflict,14,3,99.9276,,,2482,299.40307512,ssp,standard,2024-02-20 11:19:48,
325,Windy Hill -Zone 1,13,3,100.5181,fcp,,1865,301.6608,sssp,standard,2024-02-20 11:19:48,
234,End of Twilight,13,3,100.559,,,1582,297.1584,sssp,standard,2024-02-20 11:19:48,
731,妄想感傷代償連盟,13,4,100.6428,fc,,1901,297.1584,sssp,standard,2024-02-20 11:19:48,
378,planet dancer,13,3,100.6202,fcp,,1497,297.1584,sssp,standard,2024-02-20 11:19:48,
380,どうしてこうなった,13+,3,100.3985,fc,,2481,297.0992412,sss,standard,2024-02-20 11:19:48,
1447,エゴロック,13+,3,100.3745,fc,,1920,299.1963096,sss,dx,2024-02-20 11:19:48,
1379,sølips,13+,2,100.3006,,,2011,296.80953552,sss,dx,2024-02-20 11:19:48,
1100,シエルブルーマルシェ,13+,4,100.1897,,,1167,296.48136024,sss,dx,2024-02-20 11:19:48,
812,Alea jacta est!,14+,4,98.6615,,,2803,296.4186106,sp,standard,2024-02-20 11:19:48,
700,疾走あんさんぶる,13+,3,100.0898,,,2302,296.18573616,sss,standard,2024-02-20 11:19:48,
366,oboro,13+,3,100.0667,,,1658,296.11737864,sss,standard,2024-02-20 11:19:48,
219,記憶、記録,14,4,99.9041,,,1997,301.44064093,ssp,standard,2024-02-20 11:19:48,
319,幻想のサテライト,13,3,100.0455,,,1951,291.732678,sss,dx,2024-02-20 11:19:48,
379,Caliburne ～Story of the Legendary sword～,14,3,99.3551,,,2479,295.52180944,ss,standard,2024-02-20 11:19:48,
1331,スーパーシンメトリー,13+,3,99.862,,,2795,292.8852598,ssp,dx,2024-02-20 11:19:48,
734,ENERGY SYNERGY MATRIX,13,3,100.3849,fc,fs,2400,292.7223684,sss,dx,2024-02-20 11:19:48,
1153,Boys O’Clock,13,3,100.5254,,,2233,294.9072,sssp,dx,2024-02-20 11:19:48,
688,麒麟,13,2,100.6922,fcp,fs,1550,292.656,sssp,standard,2024-02-20 11:19:48,
1161,オリフィス,12+,3,100.7068,fc,,2205,290.4048,sssp,dx,2024-02-20 11:19:48,
1134,ソリッド,13,3,100.3153,,,2021,290.35260432,sss,dx,2024-02-20 11:19:48,
381,B.B.K.K.B.K.K.,14,3,99.6746,,,2389,294.4387684,ssp,standard,2024-02-20 11:19:48,
1211,カラッポ・ノンフィクション,13+,3,100.2186,,,2247,296.56688112,sss,dx,2024-02-20 11:19:48,
1304,Round Round Spinning Around,13,3,100.1424,,,2219,287.68908672,sss,dx,2024-02-20 11:19:48,
568,分からない,14,3,99.5101,,,2412,293.9528354,ssp,standard,2024-02-20 11:19:48,
592,Sakura Fubuki,13+,3,99.9807,fc,,1773,293.23339503,ssp,standard,2024-02-20 11:19:48,
521,ECHO,13,3,100.4788,,,2056,292.9961808,sss,standard,2024-02-20 11:19:48,
1402,撩乱乙女†無双劇,13,3,100.4355,,,2330,290.7005112,sss,dx,2024-02-20 11:19:48,
386,Scars of FAUNA,13+,3,99.7673,,,1961,290.50242414,ssp,standard,2024-02-20 11:19:48,
130,FEEL ALIVE,13+,3,99.7643,fcp,,1199,288.38866201,ssp,standard,2024-02-20 11:19:48,
1192,絶対にチョコミントを食べるアオイチャン,12+,3,100.575,fc,,1979,290.4048,sssp,dx,2024-02-20 11:19:48,
797,Scarlet Lance,12+,2,100.6898,fc,,1858,290.4048,sssp,standard,2024-02-20 11:19:48,
642,Justified,12+,2,100.7148,fc,,1668,290.4048,sssp,standard,2024-02-20 11:19:48,
1122,アンドロイドガール,12+,3,100.6482,fc,,2137,290.4048,sssp,dx,2024-02-20 11:19:48,
143,Fragrance,14+,4,98.6261,,,1663,292.30803518,sp,standard,2024-02-20 11:19:48,
447,+♂,13,3,100.2824,,,2142,290.25737856,sss,standard,2024-02-20 11:19:48,
235,火炎地獄,14,3,99.6724,,,1821,296.53535724,ssp,standard,2024-02-20 11:19:48,
723,SPICY SWINGY STYLE,13,3,100.2546,,,1769,290.17691424,sss,standard,2024-02-20 11:19:48,
819,White Traveling Girl,13,3,100.0556,,,2140,289.60092864,sss,standard,2024-02-20 11:19:48,
